name,terminal,airside,gate,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id,logo_url
Panda Express,Terminal B,Airside,Gate B1,Gate B1,,,"American, Chinese, Asian",,"Panda Express is America's largest Chinese fast food chain, known for its Orange Chicken, Kung Pao Beef, and customisable plate combos with fried rice and noodles.",Mo-Su 08:00-20:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/pandaexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Sugarland Beer Garden,Terminal B,Airside,Gate B11,Gate B11,,,Bar,,"A casual beer garden with a Texas-themed atmosphere serving craft beers, simple food, and Lone Star-inspired fare.",Mo-Su 07:00-22:00,,,,,,OPEN — on official Houston IAH website,,
Q Bar,Terminal B,Airside,Gate B11,Gate B11,,,Bar,,"A casual bar serving cocktails, beers, and light snacks for travelers between flights.",Mo-Su 07:00-22:00,,,,,,OPEN — on official Houston IAH website,,
Starbucks,Terminal B,Airside,,,,,Café,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",Mo-Su 05:00-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Alchemy Cocktail Lounge,Terminal C,Airside,Gate C33,Gate C33,,,Bar,,"An upscale cocktail lounge serving craft cocktails, premium spirits, and light appetizers.",Mo-Su 07:00-22:00,,,,,,OPEN — on official Houston IAH website,,
CIBO Express Gourmet Markets,Terminal C,Airside,Gate C34,Gate C34,,,"Café, Grab & Go",,"CIBO Express Gourmet Markets is a North American airport gourmet market concept offering fresh grab-and-go meals, artisan snacks, wines, and specialty beverages for travellers.",Mo-Su 00:00-24:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/ciboexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Forno Magico Neapolitan Pizza,Terminal C,Airside,Gate C5,Gate C5,,,"Pizza, Italian",,A Neapolitan pizza restaurant serving authentic wood-fired pizzas with fresh Italian ingredients and San Marzano tomatoes.,Mo-Su 06:00-22:00,,,,,,OPEN — on official Houston IAH website,,
George's International Market,Terminal C,Airside,,,,,"Grab & Go, International",,"A market-style food concept offering international packaged foods, grab-and-go items, and diverse snacks.",,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/georgesinternationalmarket.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Green Mango,Terminal C,Airside,Gate C22,Gate C22,,,Asian,,"A Southeast Asian restaurant serving Thai, Vietnamese, and pan-Asian dishes with fresh mango-based dishes and noodle soups.",,,,,,,OPEN — on official Houston IAH website,,
Harvest Table,Terminal C,Airside,Gate C2,Gate C2,,,American,,A farm-to-table style restaurant serving seasonal American comfort food made with locally sourced ingredients.,Mo-Su 06:00-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/harvesttableculinary.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Manchu Wok,Terminal C,Airside,Gate C22,Gate C22,,,"Chinese, Asian, Fast Food",,"Manchu Wok is a North American Chinese fast food chain found primarily in food courts, serving wok-fried dishes, fried rice, and noodle dishes.",Mo-Su 07:00-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/manchuwok.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Panda Express,Terminal C,Airside,Gate C22,Gate C22,,,"American, Chinese, Asian",,"Panda Express is America's largest Chinese fast food chain, known for its Orange Chicken, Kung Pao Beef, and customisable plate combos with fried rice and noodles.",Mo-Su 05:00-22:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/pandaexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pappasito's Cantina,Terminal C,Airside,Gate C14,Gate C14,,,"Mexican, Latin American, American",,"Pappasito's Cantina is an upscale American Tex-Mex restaurant chain from the Pappas family, serving premium fajitas, margaritas, and classic Mexican cuisine.",Mo-Su 07:00-20:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/pappasitos.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal C,Airside,Gate C5,Gate C5,,,Café,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",Mo-Su 05:00-20:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Rail,Terminal C,Airside,Gate C14,Gate C14,,,"Bar, American",,A casual bar and restaurant serving American comfort food and a full bar in a train-themed setting.,Mo-Su 06:00-21:00,,,,,,OPEN — on official Houston IAH website,,
Wendy's,Terminal C,Airside,Gate C34,Gate C34,,,"Fast Food, Burgers",,"Wendy's is an American international fast food chain known for its square, fresh, never-frozen beef burgers, the iconic Frosty dessert, and made-to-order menu served since 1969.",Mo-Su 04:00-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/wendys.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Bayou City Bar,Terminal D,Airside,Gate D18,Gate D18,,,"Bar, American",,"A Houston-themed bar serving Texas craft beers, cocktails, and Lone Star-inspired bar food.",Mo-Su 08:00-21:00,,,,,,OPEN — on official Houston IAH website,,
Bam Bam,Terminal D,Airside,,,,,"Vietnamese, Asian, Pan-Asian",,"A Vietnamese-inspired noodle and rice bowl restaurant serving pho, banh mi, and Southeast Asian dishes.",,,,,,,OPEN — on official Houston IAH website,,
Chick-fil-A,Terminal D,Airside,Gate D12,Gate D12,,,"Fast Food, Steak, Grill Chicken & BBQ",,"Chick-fil-A is an American fast food chain specialising in chicken sandwiches, nuggets, and waffle fries, known for its exceptional customer service and Sunday closures.",Mo-Su 05:00-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/chick-fil-a.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Chili's,Terminal D,Airside,Gate D9,Gate D9,,,American,,"Chili's Grill & Bar is an American casual dining chain known for its Tex-Mex-inspired dishes, baby back ribs, sizzling fajitas, and signature margaritas.",Mo-Su 06:00-22:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/chilis.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Denny's,Terminal D,Airside,,,,,American,,"Denny's is a classic American diner chain open around the clock, renowned for its all-day breakfast, Grand Slam platters, and hearty comfort food at accessible prices.",Mo-Su 05:00-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/dennys.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Einstein Bros. Bagels,Terminal D,Airside,Gate D26,Gate D26,,,"Sandwiches & Deli, Café",,"Einstein Bros. Bagels is an American bakery café chain offering a wide variety of freshly baked bagels, schmears, egg sandwiches, and specialty coffees.",Mo-Su 04:00-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/einsteinbros.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Jamba Juice,Terminal D,Airside,,,,,"Healthy, Desserts",,"Jamba is an American smoothie and juice chain offering a wide range of blended fruit and vegetable smoothies, freshly squeezed juices, and health-boosting bowls.",,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/jamba.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pappasito's Cantina,Terminal D,Airside,Gate D18,Gate D18,,,"Mexican, Latin American, American",,"Pappasito's Cantina is an upscale American Tex-Mex restaurant chain from the Pappas family, serving premium fajitas, margaritas, and classic Mexican cuisine.",Mo-Su 07:00-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/pappasitos.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pinkberry,Terminal D,Airside,,,,,"Desserts, Healthy",,"Pinkberry is an American premium frozen yogurt chain known for its tart, natural frozen yogurt topped with fresh fruit, granola, and other premium toppings.",,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/pinkberry.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal D,Airside,Gate D9,Gate D9,,,Café,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",Mo-Su 04:30-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Craft Beer Garden,Terminal D,Airside,Gate D26,Gate D26,,,Bar,,A beer garden specializing in rotating craft beers from Texas and around the US alongside pub food.,Mo-Su 06:00-21:00,,,,,,OPEN — on official Houston IAH website,,
Urban Crave,Terminal D,Airside,Gate D12,Gate D12,,,American,,"Urban Crave is an American casual dining concept found in airports, offering gourmet burgers, sandwiches, and comfort food.",Mo-Su 06:00-22:00,,,,,,OPEN — on official Houston IAH website,,
Villa Italian Kitchen,Terminal D,Airside,Gate D26,Gate D26,,,"Pizza, Italian",,"Villa Italian Kitchen is an American fast-casual Italian chain found in malls and food courts, serving Neapolitan-style pizza by the slice, pasta, and Italian entrées.",Mo-Su 06:00-22:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/villaitaliankitchen.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Auntie Anne's,Terminal E,Airside,Gate E12,Gate E12,,,Bakery,,"Auntie Anne's is an American pretzel bakery chain famous for its hand-rolled, freshly baked soft pretzels served plain or in sweet and savoury varieties.",Mo-Su 04:00-20:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/auntieannes.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Beerhive,Terminal E,Airside,Gate E1,Gate E1,,,Bar,,Beerhive is an airport bar concept offering a curated selection of craft and mainstream beers alongside pub-style food for travellers.,Mo-Su 05:30-22:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/beerhive.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Beerhive,Terminal E,Airside,Gate E24,Gate E24,,,Bar,,Beerhive is an airport bar concept offering a curated selection of craft and mainstream beers alongside pub-style food for travellers.,Mo-Su 05:30-22:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/beerhive.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Byte: Fresh Grab and Go Meals,Terminal E,Airside,,,,,Grab & Go,,"An automated grab-and-go concept with fresh daily-prepared meals, salads, and snacks available 24 hours.",Mo-Su 00:00-24:00,,,,,,OPEN — on official Houston IAH website,,
Cadillac Mexican Kitchen & Tequila Bar,Terminal E,Airside,Gate E24,Gate E24,,,"Mexican, Latin American",,A Mexican kitchen and tequila bar serving traditional Mexican and Tex-Mex dishes alongside an extensive tequila and margarita menu.,Mo-Su 06:00-22:00,,,,,,OPEN — on official Houston IAH website,,
Chick-fil-A,Terminal E,Airside,Security Checkpoint,Security Checkpoint,,,"Fast Food, Steak, Grill Chicken & BBQ",,"Chick-fil-A is an American fast food chain specialising in chicken sandwiches, nuggets, and waffle fries, known for its exceptional customer service and Sunday closures.",,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/chick-fil-a.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Chili's,Terminal E,Airside,Security Checkpoint,Security Checkpoint,,,American,,"Chili's Grill & Bar is an American casual dining chain known for its Tex-Mex-inspired dishes, baby back ribs, sizzling fajitas, and signature margaritas.",,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/chilis.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
CIBO Express Gourmet Markets,Terminal E,Airside,,,,,"Café, Grab & Go",,"CIBO Express Gourmet Markets is a North American airport gourmet market concept offering fresh grab-and-go meals, artisan snacks, wines, and specialty beverages for travellers.",Mo-Su 00:00-24:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/ciboexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Cinnabon,Terminal E,Airside,Gate E12,Gate E12,,,Bakery,,"Cinnabon is an American bakery chain world-famous for its freshly baked, gooey cinnamon rolls made with signature Makara cinnamon and cream cheese frosting.",Mo-Su 04:00-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/cinnabon.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Panda Express,Terminal E,Airside,Gate E3,Gate E3,,,"American, Chinese, Asian",,"Panda Express is America's largest Chinese fast food chain, known for its Orange Chicken, Kung Pao Beef, and customisable plate combos with fried rice and noodles.",Mo-Su 06:00-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/pandaexpress.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Pappasito's Cantina,Terminal E,Airside,Gate E1,Gate E1,,,"Mexican, Latin American, American",,"Pappasito's Cantina is an upscale American Tex-Mex restaurant chain from the Pappas family, serving premium fajitas, margaritas, and classic Mexican cuisine.",Mo-Su 07:00-20:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/pappasitos.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Schlotzky's,Terminal E,Airside,Gate E24,Gate E24,,,Sandwiches & Deli,,"Schlotzsky's is an American sandwich chain famous for its distinctive sourdough bun sandwiches, flatbread pizzas, and a range of toasted hot and cold options.",Mo-Su 05:30-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/schlotzskys.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Terminal E,Airside,Gate E23,Gate E23,,,Café,,"Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",Mo-Su 05:00-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Tagliare,Terminal E,Airside,Gate E12,Gate E12,,,"Sandwiches & Deli, Italian",,"An Italian deli and restaurant serving cured meats, artisan cheeses, handmade pasta, and Italian-inspired sandwiches.",Mo-Su 06:00-21:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/tagliare.com.br?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Market by Villa,Terminal E,Airside,Gate E1,Gate E1,,,"Grab & Go, Sandwiches & Deli",,"A gourmet market concept offering prepared meals, artisan products, and specialty Texas food items.",Mo-Su 04:30-22:00,,,,,,OPEN — on official Houston IAH website,,
TGI Fridays,Terminal E,Airside,Gate E24,Gate E24,,,American,,"TGI Fridays is an American casual dining restaurant chain inspired by New York bar culture, serving burgers, ribs, cocktails, and American comfort food since 1965.",Mo-Su 07:00-22:00,,,,,,OPEN — on official Houston IAH website,,https://img.logo.dev/tgifridays.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
