name,terminal,airside,categories,lat,lon,phone,website,opening_hours,floor_level,wheelchair,takeaway,description,verified_status,osm_id
perfect day,"Terminal 1, Area A",Airside,Coffee,50.047837,8.568065,,,,,yes,,Coffee shop with specialty coffees and freshly baked snacks.,OPEN — on official FRA website,4817525828
perfect day micro,"Terminal 1, Area A",Airside,Coffee,,,,,,,,,Compact coffee kiosk with specialty coffees and quick bites.,OPEN — on official FRA website,
Pezzo di Pane,"Terminal 1, Area A",Airside,Restaurant,50.048515,8.567398,,,,,yes,,"Italian bakery and panini concept with breads, filled rolls and coffees.",OPEN — on official FRA website,9981856750
QUICKER's,"Terminal 1, Area A",Airside,Fast Food,50.050075,8.568914,,,,,,,Quick-service sandwich and snack bar.,OPEN — on official FRA website,3321108768
Superfood,"Terminal 1, Area A",Airside,Restaurant,,,,,,,,,"Health-focused eatery with nutrient-rich bowls, smoothies and plant-based dishes.",OPEN — on official FRA website,
ÜberQuell,"Terminal 1, Area A",Airside,Bar,50.048482,8.567588,,,,,yes,,Craft beer bar with rotating artisan brews and bar snacks.,OPEN — on official FRA website,9981856751
Bean Love,"Terminal 1, Area A",Landside,Coffee,,,,,,,,,Specialty coffee bar with artisan roasts and freshly baked snacks.,OPEN — on official FRA website,
Best Worscht in Town,"Terminal 1, Area A",Landside,Fast Food,,,,,,,,,Frankfurt-style sausage and fast-food concept celebrating the city's iconic currywurst street food.,OPEN — on official FRA website,
Hucks Lieblingsplatz,"Terminal 1, Area A",Landside,"Bakery, Café",50.050493,8.569828,+49 69 247450021,,06:00-20:00,,,,Café and bakery with freshly baked goods and hot drinks.,OPEN — on official FRA website,13119972041
KFC Kentucky Fried Chicken,"Terminal 1, Area A",Landside,Fast Food,50.050957,8.569462,+49 69 69027295,,Mo-Su 09:00-22:00,,yes,yes,"Crispy fried chicken, burgers and sides.",OPEN — on official FRA website,3413385941
Le Crogbag,"Terminal 1, Area A",Landside,Bakery,50.051237,8.57072,,,,,,,"Bakery and snack chain with baguettes, pretzels and savoury bites.",OPEN — on official FRA website,526110089
McDonald's,"Terminal 1, Area A",Landside,Fast Food,50.050707,8.569661,+49 69 69032068,,,,yes,yes,"Classic burgers, fries and breakfast served all day.",OPEN — on official FRA website,435056303
Meyer Deli Coffee Kitchen,"Terminal 1, Area A",Landside,"Coffee, Fast Food",,,,,,,,,"Deli coffee kitchen with specialty coffees, fresh sandwiches and light bites.",OPEN — on official FRA website,
QUICKER's,"Terminal 1, Area A",Landside,Fast Food,,,,,,,,,Quick-service sandwich and snack bar.,OPEN — on official FRA website,
Thong Thai,"Terminal 1, Area A",Landside,"Fast Food, Asian",50.051223,8.57115,,,Mo-Su 10:00-22:00,,yes,,"Thai fast-food with curries, noodle dishes and spring rolls.",OPEN — on official FRA website,3413385950
Anton & Anni,"Terminal 1, Area B",Airside,Restaurant,50.047848,8.573424,,,,,yes,,"Bavarian restaurant with traditional dishes, pretzels and weissbier.",OPEN — on official FRA website,13440209574
"Brewgate - Coffee, Beer & Bites","Terminal 1, Area B",Airside,"Café, Bar",,,,,,,,,"Multi-concept destination serving specialty coffees, craft beers and light bites.",OPEN — on official FRA website,
Burger King,"Terminal 1, Area B",Airside,Fast Food,50.047865,8.573483,,,,,yes,yes,"Flame-grilled burgers, wraps and fries.",OPEN — on official FRA website,567141772
DELI BROS,"Terminal 1, Area B",Airside,Restaurant,50.048444,8.57413,,,,,yes,,"Deli-style sandwiches, salads and light bites.",OPEN — on official FRA website,3321108494
Falconi's,"Terminal 1, Area B",Airside,Café,,,,,,,,,"Italian-inspired café and pastry concept with espresso, gelato and dolci.",OPEN — on official FRA website,
Goethe Bar,"Terminal 1, Area B",Airside,"Bar, Restaurant",50.048144,8.573084,,,,,yes,,Cocktail bar and restaurant named after Frankfurt's most famous son.,OPEN — on official FRA website,5534421568
Meyer Deli Coffee Kitchen,"Terminal 1, Area B",Airside,"Coffee, Fast Food",50.046533,8.571571,,,,,,,"Deli coffee kitchen with specialty coffees, fresh sandwiches and light bites.",OPEN — on official FRA website,3321108492
Minibar,"Terminal 1, Area B",Airside,Bar,,,,,,,,,"Compact bar with cocktails, beers and light snacks.",OPEN — on official FRA website,
MONDO Bar,"Terminal 1, Area B",Airside,"Bar, Café",50.0492,8.573836,,,,,,,"Casual bar and café concept with coffees, drinks and light bites.",OPEN — on official FRA website,3750283536
Natoo,"Terminal 1, Area B",Airside,Café,50.047135,8.571858,,,Mo-Su 06:00-22:00,,yes,,Healthy salad bar with build-your-own bowls and fresh ingredients.,OPEN — on official FRA website,3321108486
Puro Gusto,"Terminal 1, Area B",Airside,Café,50.044645,8.566179,,,,,yes,yes,"Italian café with espresso, pastries and light dishes.",OPEN — on official FRA website,4817525921
QUICKER's,"Terminal 1, Area B",Airside,Fast Food,,,,,,,,,Quick-service sandwich and snack bar.,OPEN — on official FRA website,
Starbucks,"Terminal 1, Area B",Airside,Coffee,50.047911,8.573727,,,,,yes,,"Customised coffees, handcrafted beverages and snacks.",OPEN — on official FRA website,13440261329
Bistrot Frankfurt Airport,"Terminal 1, Area B",Landside,Restaurant,,,,,,,,,French-style brasserie with classic bistrot dishes and café fare.,OPEN — on official FRA website,
Bistrot Snack Bar,"Terminal 1, Area B",Landside,Fast Food,,,,,,,,,"French-inspired snack bar with sandwiches, pastries and hot drinks.",OPEN — on official FRA website,
Ciao Italia,"Terminal 1, Area B",Landside,Restaurant,,,,,,,,,"Italian casual dining with fresh pasta, pizza and traditional Italian dishes.",OPEN — on official FRA website,
Heberer Traditional Bakery,"Terminal 1, Area B",Landside,"Bakery, Café",50.05113,8.571298,+49 69 69026179,,05:00-22:00,,,,"Frankfurt's traditional bakery chain with fresh breads, pastries and coffees.",OPEN — on official FRA website,435056301
Kamps,"Terminal 1, Area B",Landside,Bakery,50.05063,8.571296,,,,,,,"German bakery chain with fresh breads, pastries and sandwiches.",OPEN — on official FRA website,3321108537
Meyer Deli Coffee Kitchen,"Terminal 1, Area B",Landside,"Coffee, Fast Food",,,,,,,,,"Deli coffee kitchen with specialty coffees, fresh sandwiches and light bites.",OPEN — on official FRA website,
Starbucks,"Terminal 1, Area B",Landside,Coffee,50.050864,8.573604,,,,,yes,yes,"Customised coffees, handcrafted beverages and snacks.",OPEN — on official FRA website,3321108784
Trib's,"Terminal 1, Area B",Landside,Fast Food,50.050205,8.571668,,,24/7,,yes,,Frankfurt Airport's own quick-service food and drinks outlet.,OPEN — on official FRA website,3321108769
Wiener Feinbäckerei,"Terminal 1, Area B",Landside,"Bakery, Café",50.051369,8.574447,,,,,,,"Viennese fine bakery with traditional Austrian pastries, breads and coffees.",OPEN — on official FRA website,3321108502
MONDO Bar,"Terminal 1, Area C",Airside,"Bar, Café",50.051128,8.569329,,,,,yes,,"Casual bar and café concept with coffees, drinks and light bites.",OPEN — on official FRA website,1433433086
Coffee Fellows,"Terminal 1, Area C",Landside,Coffee,50.051146,8.574428,,,,,yes,yes,"German specialty coffee chain with artisan coffees, teas and light snacks.",OPEN — on official FRA website,3321108491
Kosher food,"Terminal 1, Area C",Landside,Restaurant,,,,,,,,,Certified kosher food outlet with meals prepared under rabbinical supervision.,OPEN — on official FRA website,
Starbucks,"Terminal 1, Area C",Landside,Coffee,50.053161,8.570565,,,05:30-21:00,,yes,yes,"Customised coffees, handcrafted beverages and snacks.",OPEN — on official FRA website,356054289
Anton & Anni,"Terminal 1, Area Z",Airside,Restaurant,,,,,,,,,"Bavarian restaurant with traditional dishes, pretzels and weissbier.",OPEN — on official FRA website,
Burger King,"Terminal 1, Area Z",Airside,Fast Food,50.05298,8.570794,,,08:00-22:00,,,yes,"Flame-grilled burgers, wraps and fries.",OPEN — on official FRA website,6426792046
Caffè Ritazza,"Terminal 1, Area Z",Airside,"Coffee, Café",,,,,,,,,"International café chain with coffees, teas and freshly made light bites.",OPEN — on official FRA website,
Heberer's Traditional Bakery,"Terminal 1, Area Z",Airside,"Bakery, Café",50.05264,8.568977,,,Mo-Su 05:00-21:00,,,yes,"Frankfurt's traditional bakery chain with fresh breads, pastries and coffees.",OPEN — on official FRA website,525862306
Hermann's Mobile,"Terminal 1, Area Z",Airside,Fast Food,,,,,,,,,"Mobile kiosk version of Hermann's with currywurst, sausages and German fast food on the go.",OPEN — on official FRA website,
Lucullus Nero,"Terminal 1, Area Z",Airside,Café,,,,,,,,,"Italian café and bistrot offering espresso, pastries and light bites.",OPEN — on official FRA website,
The Bar,"Terminal 1, Area Z",Airside,Bar,,,,,,,,,"Bar in the Terminal 1 transit area with cocktails, wines and light bites.",OPEN — on official FRA website,
Kamps,"Terminal 2, Area D",Airside,Bakery,,,,,,,,,"German bakery chain with fresh breads, pastries and sandwiches.",OPEN — on official FRA website,
MONDO Restaurant,"Terminal 2, Area D",Airside,"Restaurant, Bar",,,,,,,,,MONDO's full-service restaurant and bar with international dishes and drinks.,OPEN — on official FRA website,
McDonald's,"Terminal 2, Area D",Landside,Fast Food,,,,,,,,,"Classic burgers, fries and breakfast served all day.",OPEN — on official FRA website,
QUICKER's,"Terminal 2, Area D",Landside,Fast Food,,,,,,,,,Quick-service sandwich and snack bar.,OPEN — on official FRA website,
Kamps,"Terminal 2, Area E",Landside,Bakery,,,,,,,,,"German bakery chain with fresh breads, pastries and sandwiches.",OPEN — on official FRA website,
AMORE,"Terminal 3, Area H",Airside,Restaurant,,,,,,,,,"Italian restaurant with pasta, pizza and antipasti.",OPEN — on official FRA website,
Brew'd,"Terminal 3, Area H",Airside,"Coffee, Bar",,,,,,,,,Contemporary coffee and craft beer concept with specialty brews and artisan bites.,OPEN — on official FRA website,
Asia Street Cooking,"Terminal 3, Area J",Airside,Restaurant,,,,,,,,,"Asian street food restaurant with wok dishes, noodles and dumplings.",OPEN — on official FRA website,
Brot by Axel Schmitt,"Terminal 3, Area J",Airside,"Bakery, Café",,,,,,,,,Artisan bakery from award-winning German baker Axel Schmitt with sourdough breads and pastries.,OPEN — on official FRA website,
Burger King,"Terminal 3, Area J",Airside,Fast Food,,,,,,,,,"Flame-grilled burgers, wraps and fries.",OPEN — on official FRA website,
Daily Deli,"Terminal 3, Area J",Airside,Fast Food,50.030487,8.576418,,,,,,,"Fresh deli sandwiches, salads and snacks.",OPEN — on official FRA website,13805573061
EL&N London,"Terminal 3, Area J",Airside,Café,,,,,,,,,"London-born luxury café known for its floral decor, colourful desserts and specialty coffees.",OPEN — on official FRA website,
Haferkater,"Terminal 3, Area J",Airside,"Café, Fast Food",,,,,,,,,"Healthy oat and grain-based breakfast bowls, smoothies and snacks.",OPEN — on official FRA website,
Hausmann's,"Terminal 3, Area J",Airside,Restaurant,,,,,,,,,German café-bistro with regional dishes and fresh sandwiches by celebrity chef Tim Mälzer.,OPEN — on official FRA website,
Main Bissen,"Terminal 3, Area J",Airside,Fast Food,,,,,,,,,Frankfurt-themed casual concept celebrating local flavours with regional snacks and bites.,OPEN — on official FRA website,
NENI Deli,"Terminal 3, Area J",Airside,Restaurant,50.030827,8.575245,,,,,,,"Middle Eastern-inspired deli with mezze, hummus, falafel and sharing plates from Vienna's NENI brand.",OPEN — on official FRA website,13805573065
Origin Bar & Eatery,"Terminal 3, Area J",Airside,"Bar, Restaurant",,,,,,,,,Contemporary bar and eatery with artisan cocktails and seasonal food.,OPEN — on official FRA website,
Sophia Loren,"Terminal 3, Area J",Airside,Restaurant,,,,,,,,,Italian restaurant inspired by the legendary actress with Italian classics and fine wines.,OPEN — on official FRA website,
Zigolini,"Terminal 3, Area J",Airside,Fast Food,50.031037,8.574541,,,,,,,"Italian-style snack bar with pizza slices, panini and light bites.",OPEN — on official FRA website,13805573069
Brew'd,"Terminal 3, Area J",Landside,"Coffee, Bar",,,,,,,,,Contemporary coffee and craft beer concept with specialty brews and artisan bites.,OPEN — on official FRA website,
Burger King,"Terminal 3, Area J",Landside,Fast Food,50.028731,8.581216,,,,,,yes,"Flame-grilled burgers, wraps and fries.",OPEN — on official FRA website,13754331024
Espresso House,"Terminal 3, Area J",Landside,Coffee,50.029006,8.581867,,,,,,yes,"Scandinavian coffee chain with specialty filter coffees, espresso drinks and snacks.",OPEN — on official FRA website,13754331021
