"name","terminal","airside","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"Chipotle","Terminal E","Airside","Terminal E","","","","Post-Security; Mexican; Lunch; Dinner; Quick Serve; Vegan; Vegetarian","","5a – 30 mins prior to last departure","","","","yes","yes","OPEN — on official Boston Logan website",""
"Cosi","Terminal B","Airside","Terminal B","","","","Post-Security; Breakfast; Lunch; Quick Serve; Grab and Go","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Davio's Northern Italian Steakhouse","Terminal A","Airside","Terminal A","","","","Post-Security; Italian; Lunch; Dinner; Waiter Service; Alcohol","","11a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Dunkin'","Terminal A","Airside","Terminal A","","","","Post-Security; Coffee; Breakfast; Quick Serve","","60 mins prior to last departure – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Dunkin' by Hudson","Terminal C","Airside","Terminal C","","","","Post-Security; Coffee; Breakfast; Quick Serve","","4a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Dunkin' by Hudson","Terminal C","Airside","Terminal C","","","","Post-Security; Coffee; Breakfast; Quick Serve","","4a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Dunkin' by Hudson","Terminal C","Airside","Terminal C","","","","Post-Security; Coffee; Breakfast; Quick Serve","","4:30a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Evolvending Vending Machine","Terminal B","Airside","Terminal B","","","","Vending","","24 Hour Vending","","","","","","OPEN — on official Boston Logan website",""
"Evolvending Vending Machine","Terminal E","Airside","Terminal E","","","","Vending","","24 Hour Vending","","","","","","OPEN — on official Boston Logan website",""
"Evolvending Vending Machine","Terminal E","Airside","Terminal E","","","","Vending","","24 Hour Vending","","","","","","OPEN — on official Boston Logan website",""
"Evolvending Vending Machine","Terminal C","Airside","Terminal C","","","","Vending","","24 Hour Vending","","","","","","OPEN — on official Boston Logan website",""
"Evolvending Vending Machines","Terminal A","Airside","Terminal A","","","","Vending","","24 Hour Vending","","","","","","OPEN — on official Boston Logan website",""
"Evolvending Vending Machines","Terminal A","Airside","Terminal A","","","","Vending","","24 Hour Vending","","","","","","OPEN — on official Boston Logan website",""
"Evolvending Vending Machines","Terminal C","Airside","Terminal C","","","","Vending","","24 Hour Vending","","","","","","OPEN — on official Boston Logan website",""
"Farmer's Fridge","Terminal B","Airside","Terminal B","","","","Post-Security; Vegan; Vegetarian; Grab and Go","","24 Hours","","","","yes","yes","OPEN — on official Boston Logan website",""
"Farmer's Fridge","Terminal C","Airside","Terminal C","","","","Post-Security; Vegan; Vegetarian; Grab and Go","","24 Hours","","","","yes","yes","OPEN — on official Boston Logan website",""
"Farmer's Fridge","Terminal E","Airside","Terminal E","","","","Post-Security; Vegan; Vegetarian; Grab and Go","","24 Hours","","","","yes","yes","OPEN — on official Boston Logan website",""
"Fox & Flight","Terminal A","Airside","Terminal A","","","","Post-Security; American; Breakfast; Lunch; Dinner; Waiter Service; Alcohol","","6a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Gachi Sushi & Noodles","Terminal C","Airside","Terminal C","","","","Post-Security; Asian; Lunch; Dinner; Quick Serve","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Harvest & Vine Wine Bar","Terminal E","Airside","Terminal E","","","","Post-Security; Alcohol; Lunch; Dinner; Waiter Service","","7a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Hemingway's Restaurant & Bar","Terminal E","Airside","Terminal E","","","","Post-Security; American; Breakfast; Lunch; Dinner; Waiter Service; Alcohol","","6a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Hissho Sushi","Terminal B","Airside","Terminal B","","","","Post-Security; Asian; Lunch; Dinner; Quick Serve","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Hissho Sushi","Terminal C","Airside","Terminal C","","","","Post-Security; Asian; Lunch; Dinner; Quick Serve","","4a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Ironside Fish & Oyster","Terminal C","Airside","Terminal C","","","","Post-Security; Local; Seafood; Lunch; Dinner; Waiter Service; Alcohol","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"J.B. Sullivan's","Terminal E","Airside","Terminal E","","","","Post-Security; American; Breakfast; Lunch; Dinner; Waiter Service; Alcohol","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Legal Sea Foods","Terminal A","Airside","Terminal A","","","","Post-Security; Local; Seafood; Lunch; Dinner; Waiter Service; Alcohol","","10a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Legal Sea Foods","Terminal C","Airside","Terminal C","","","","Post-Security; Local; Seafood; Breakfast; Lunch; Dinner; Waiter Service; Alcohol","","6a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Loretta's Last Call","Terminal A","Airside","Terminal A","","","","Post-Security; Local; American; Breakfast; Lunch; Dinner; Waiter Service; Alcohol","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Mija Cantina & Tequila Bar","Terminal C","Airside","Terminal C","","","","Post-Security; Mexican; Lunch; Dinner; Waiter Service; Alcohol","","5a – 30 mins prior","","","","","","OPEN — on official Boston Logan website",""
"Monica's Mercato","Terminal E","Airside","Terminal E","","","","Post-Security; Local; Italian; Lunch; Dinner","","Mon–Fri: 6:30a – 30 mins prior","","","","","","OPEN — on official Boston Logan website",""
"Mount Comfort Coffee","Terminal E","Airside","Terminal E","","","","Post-Security; Coffee; Espresso","","24 Hours","","","","","","OPEN — on official Boston Logan website",""
"Mount Comfort Coffee","Terminal E","Airside","Terminal E","","","","Post-Security; Coffee; Espresso","","24 Hours","","","","","","OPEN — on official Boston Logan website",""
"Mount Comfort Coffee","Terminal E","Airside","Terminal E","","","","Post-Security; Coffee; Espresso","","24 Hours","","","","","","OPEN — on official Boston Logan website",""
"Mount Comfort Coffee","Terminal E","Airside","Terminal E","","","","Post-Security; Coffee; Espresso","","24 Hours","","","","","","OPEN — on official Boston Logan website",""
"N.E. MKT","Terminal B","Airside","Terminal B","","","","Post-Security; Local; Breakfast; Grab and Go","","4a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Not Your Average Joe's","Terminal B","Airside","Terminal B","","","","Post-Security; American; Breakfast; Lunch; Dinner; Waiter Service; Alcohol","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Peet's at Night","Terminal E","Airside","Terminal E","","","","Post-Security; Coffee; Espresso; Alcohol","","3p – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Peet's Coffee","Terminal E","Airside","Terminal E","","","","Post-Security; Coffee; Espresso; Breakfast","","5a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Peet's Coffee & Tea","Terminal B","Airside","Terminal B","","","","Post-Security; Coffee; Espresso; Breakfast","","60 mins prior to first departure – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Potbelly Sandwich Shop","Terminal B","Airside","Terminal B","","","","Post-Security; American; Breakfast; Lunch; Quick Serve","","60 mins prior to first departure – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Potbelly Sandwich Shop","Terminal C","Airside","Terminal C","","","","Post-Security; American; Breakfast; Lunch; Quick Serve","","4:45a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Roger's Fish Co.","Terminal A","Airside","Terminal A","","","","Post-Security; Local; Seafood; Lunch; Dinner","","7a – 30 mins prior to last flight","","","","","","OPEN — on official Boston Logan website",""
"Sal's Pizza","Terminal E","Airside","Terminal E","","","","Post-Security; Italian; Pizza; Lunch; Dinner; Quick Serve","","7a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Starbucks","Terminal B","Airside","Terminal B","","","","Post-Security; Coffee; Espresso; Breakfast","","4:30a – 7p","","","","","","OPEN — on official Boston Logan website",""
"Starbucks","Terminal B","Airside","Terminal B","","","","Post-Security; Coffee; Espresso; Breakfast","","60 mins prior to first departure – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Starbucks","Terminal B","Airside","Terminal B","","","","Post-Security; Coffee; Espresso; Breakfast","","60 mins prior to first departure – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Starbucks","Terminal B","Airside","Terminal B","","","","Post-Security; Coffee; Espresso; Breakfast","","60 mins prior to first departure – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Starbucks","Terminal C","Airside","Terminal C","","","","Post-Security; Coffee; Espresso; Breakfast","","4a – 9p","","","","","","OPEN — on official Boston Logan website",""
"Starbucks","Terminal C","Airside","Terminal C","","","","Post-Security; Coffee; Espresso; Breakfast","","4a – 10p","","","","","","OPEN — on official Boston Logan website",""
"Stephanie's","Terminal B","Airside","Terminal B","","","","Post-Security; American; Breakfast; Lunch; Dinner; Waiter Service; Alcohol","","60 mins prior to first departure – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Stephanie's","Terminal E","Airside","Terminal E","","","","Post-Security; American; Breakfast; Lunch; Dinner; Waiter Service; Alcohol","","6a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Temazcal Cantina","Terminal B","Airside","Terminal B","","","","Post-Security; Mexican; Lunch; Dinner; Waiter Service; Alcohol","","10:30a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"TICO","Terminal B","Airside","Terminal B","","","","Post-Security; Local; American; Lunch; Dinner; Waiter Service; Alcohol","","60 mins prior to first departure – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"Vineyard Grille","Terminal C","Airside","Terminal C","","","","Post-Security; American; Lunch; Dinner; Waiter Service; Alcohol","","1p – 9p","","","","","","OPEN — on official Boston Logan website",""
"Wahlburgers","Terminal C","Airside","Terminal C","","","","Post-Security; Local; American; Lunch; Dinner; Quick Serve","","5a – 30 mins prior","","","","","","OPEN — on official Boston Logan website",""
"Wahlburgers","Terminal E","Airside","Terminal E","","","","Post-Security; Local; American; Lunch; Dinner; Quick Serve","","5a – 12a","","","","","","OPEN — on official Boston Logan website",""
"Wow Bao","Terminal E","Airside","Terminal E","","","","Post-Security; Asian; Lunch; Dinner; Quick Serve","","6a – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
"WPizza by Wolfgang Puck","Terminal B","Airside","Terminal B","","","","Post-Security; Italian; Pizza; Lunch; Dinner; Quick Serve","","60 mins prior to first departure – 30 mins prior to last departure","","","","","","OPEN — on official Boston Logan website",""
