name,terminal,airside,floor_level,lat,lon,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id,logo_url
Comptoir Libanais,Concourse B,Airside,,,,,,,Middle Eastern,"Lebanese, Middle Eastern, Café","Comptoir Libanais is a British Lebanese restaurant chain offering colourful, fresh Lebanese street food, mezze platters, and flatbreads in a casual, vibrant setting.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/comptoirlibanais.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Costa Coffee,Concourse A,Airside,,,,,,,Café,"Coffee & Drinks, Sandwiches, Baked Goods","Costa Coffee is a British multinational coffeehouse chain, the UK's largest, serving handcrafted coffees, teas, and food in a warm and welcoming atmosphere.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/costa.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Costa Coffee,Concourse C,Airside,,,,,,,Café,"Coffee & Drinks, Sandwiches, Baked Goods","Costa Coffee is a British multinational coffeehouse chain, the UK's largest, serving handcrafted coffees, teas, and food in a warm and welcoming atmosphere.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/costa.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Costa Coffee,Concourse D,Airside,,,,,,,Café,"Coffee & Drinks, Sandwiches, Baked Goods","Costa Coffee is a British multinational coffeehouse chain, the UK's largest, serving handcrafted coffees, teas, and food in a warm and welcoming atmosphere.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/costa.co.uk?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Daily Chef Noof,Concourse A,Airside,,,,,,,Middle Eastern,"Qatari, Middle Eastern, Home-style Cooking",A Qatari home-cooking concept serving traditional Middle Eastern and Qatari dishes prepared in a home-style manner.,24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
Day2Day Eats,Concourse B,Airside,,,,,,,"Café, Grab & Go","Café, International, Snacks, Grab & Go","Day2Day Eats is a convenience food and beverage concept in airports or travel hubs, offering quick grab-and-go meals and snacks.",24 hours,,,,yes,yes,OPEN — on official Hamad International Airport website,,
Day2Day Eats,Concourse C,Airside,,,,,,,"Café, Grab & Go","Café, International, Snacks, Grab & Go","Day2Day Eats is a convenience food and beverage concept in airports or travel hubs, offering quick grab-and-go meals and snacks.",24 hours,,,,yes,yes,OPEN — on official Hamad International Airport website,,
EatGreek Kouzina,Concourse C,Airside,,,,,,,"Mediterranean, European","Greek, Mediterranean, Salads","A Greek and Mediterranean restaurant serving gyros, mezze, grilled meats, and traditional Greek dishes.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/eatgreekkouzina.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Emporio Armani Caffè,Concourse B,Airside,,,,,,,"Café, Italian","Italian, Café, Coffee","Emporio Armani Caffè is a luxury café and restaurant concept by the Armani Group, serving refined Italian cuisine, aperitivo, and coffee in an elegant branded setting.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/armani.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Emporio Armani Ristorante,Concourse B,Airside,,,,,,,Italian,"Italian, Fine Dining, Restaurant","A luxury Italian restaurant from the Armani brand serving refined Italian cuisine including handmade pasta, risotto, and seafood.",24 hours,,,,yes,,OPEN — on official Hamad International Airport website,,
Evergreen Organics,Concourse C,Airside,,,,,,,Healthy,"Organic, Healthy, Juices, Salads","A health-focused organic cafe serving cold-pressed juices, smoothie bowls, salads, and plant-based snacks.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,
Fendi Caffè,Concourse C,Airside,,,,,,,"Café, Italian","Italian, Café, Luxury, Pastries","Fendi Caffè is a luxury café concept by the Italian fashion house Fendi, serving curated Italian pastries, coffee, and light bites in a high-design branded setting.",24 hours,,,,yes,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/fendi.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Flat White Specialty Coffee,Concourse C,Airside,,,,,,,Café,"Coffee, Specialty Coffee, Pastries, Qatari","A specialty coffee shop focused on flat whites, single-origin espresso, and precision-brewed coffee drinks.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/flatwhite.qa?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
FLO Café,Concourse B,Airside,,,,,,,"Café, French, European","Coffee, Café, Greek, Sandwiches, Pastries","FLO Café is a French café concept found in airports and brasseries, serving coffee, pastries, and light bites inspired by French bistro culture.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,
FLO Café,Concourse C,Airside,,,,,,,"Café, French, European","Coffee, Café, Greek, Sandwiches, Pastries","FLO Café is a French café concept found in airports and brasseries, serving coffee, pastries, and light bites inspired by French bistro culture.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,
Food Market,Concourse A,Airside,,,,,,,Grab & Go,"Food Court, Indian, Asian, Middle Eastern, Fast Food",A food court-style market offering international dining options from multiple cuisine stations.,24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,
Giraffe World Kitchen,Concourse A,Airside,,,,,,,"American, International","International, World Kitchen, Breakfast, Coffee","Giraffe World Kitchen is a British casual dining chain offering a globally inspired menu of dishes from around the world in a fun, vibrant, family-friendly atmosphere.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/giraffe.net?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Gordon Ramsay Burger,Concourse C,Airside,,,,,,,Burgers,"Gourmet Burgers, Milkshakes, American","A gourmet burger restaurant from celebrity chef Gordon Ramsay, serving premium burgers with high-quality beef and indulgent toppings.",24 hours,,,,,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/gordonramsayburger.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Gordon Ramsay Street Pizza,Concourse C,Airside,,,,,,,Pizza,"Pizza, Italian, Gordon Ramsay",A pizzeria concept from Gordon Ramsay serving Roman-style street pizzas by the slice with creative toppings.,24 hours,,,,yes,,OPEN — on official Hamad International Airport website,,
HARRODS TEA ROOM,Concourse A,Airside,,,,,,,"Café, European","British, Tea Room, Afternoon Tea, Café","A Harrods-branded British tearoom serving classic English afternoon tea with finger sandwiches, scones, and pastries.",24 hours,,,,yes,,OPEN — on official Hamad International Airport website,,
illy,Concourse C,Airside,,,,,,,Café,"Coffee, Café, Italian, Pastries","illy is a premium Italian coffee brand and café operator renowned for its signature single-blend espresso, sustainably sourced Arabica beans, and global café concepts.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/illy.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
illy,Concourse E,Airside,,,,,,,Café,"Coffee, Café, Italian, Pastries","illy is a premium Italian coffee brand and café operator renowned for its signature single-blend espresso, sustainably sourced Arabica beans, and global café concepts.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/illy.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Jaipur,Concourse A,Airside,,,,,,,Indian & South Asian,"Indian, Curry, Traditional","An Indian restaurant serving traditional Rajasthani and North Indian dishes including curries, tandoor items, and Indian breads.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
JAMOCHA CAFÉ,Concourse A,Airside,,,,,,,Café,"Coffee, Café, Snacks","JAMOCHA CAFÉ is a coffee café concept serving specialty coffee drinks and light snacks, found in airports and travel locations.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
JAMOCHA CAFÉ,Concourse C,Airside,,,,,,,Café,"Coffee, Café, Snacks","JAMOCHA CAFÉ is a coffee café concept serving specialty coffee drinks and light snacks, found in airports and travel locations.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
Joe and the Juice,Concourse C,Airside,,,,,,,"Café, Healthy","Juices, Coffee, Sandwiches, Healthy","Joe and the Juice is a Danish lifestyle café chain serving freshly made juices, shakes, and specialty coffees in a vibrant, music-forward atmosphere with a focus on health.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/joejuice.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Jones the Grocer Express,Concourse B,Airside,,,,,,,"Sandwiches & Deli, Café","Coffee, Deli, Gourmet, Express","Jones the Grocer Express is the quick-service format of Jones the Grocer, offering premium deli items, sandwiches, and specialty coffees for travellers on the go.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
Jones the Grocer Social,Concourse B,Airside,,,,,,,Café,"Coffee, Deli, Gourmet, Restaurant, Cheese","A gourmet cafe and casual restaurant concept from Jones the Grocer, offering specialty coffee, gourmet sandwiches, and all-day dining.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,
Jwala,Concourse C,Airside,,,,,,,"Indian & South Asian, Fast Food","Indian, Street Food, Spicy","An Indian street food restaurant serving spicy chaats, wraps, and South Asian street snacks.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
KFC,Concourse A,Airside,,,,,,,"Fast Food, Steak, Grill Chicken & BBQ","Fast Food, Fried Chicken, American","KFC (Kentucky Fried Chicken) is a global fast food chain founded by Colonel Harland Sanders, famous for its original recipe fried chicken seasoned with 11 herbs and spices.",24 hours,,,yes,,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/kfc.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
KFC,Concourse C,Airside,,,,,,,"Fast Food, Steak, Grill Chicken & BBQ","Fast Food, Fried Chicken, American","KFC (Kentucky Fried Chicken) is a global fast food chain founded by Colonel Harland Sanders, famous for its original recipe fried chicken seasoned with 11 herbs and spices.",24 hours,,,yes,,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/kfc.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
La Brioche Dorée,Concourse A,Airside,,,,,,,"Bakery, French, European","French, Bakery, Café, Breakfast","A French bakery chain serving viennoiserie, croissants, baguette sandwiches, and freshly brewed coffee.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,
Lancôme Café,Concourse D,Airside,,,,,,,"Bakery, Café, French, European","French, Café, Pastries, Luxury, Beauty","Lancôme Café is an exclusive café concept by the French luxury beauty brand Lancôme, offering rose-themed pastries, desserts, and drinks inspired by its iconic products.",24 hours,,,,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/lancome.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Last Call,Concourse E,Airside,,,,,,,Bar,"Bar, International, Snacks, Beverages","A late-night bar serving cocktails, beers, and bar snacks for international travelers on late departures.",24 hours,,,,,,OPEN — on official Hamad International Airport website,,
Le Grand Comptoir,Concourse B,Airside,,,,,,,"French, European","French, Brasserie, Wine, Live Music","Le Grand Comptoir is a French brasserie concept serving classic French dishes, charcuterie, oysters, and a curated wine list in a stylish airport setting.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
Le Petit Camion,Concourse D,Airside,,,,,,,"Café, French, European","French, Café, Coffee, Snacks","A French food truck-style cafe serving crepes, sandwiches, and espresso drinks in a casual setting.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/lepetitcamion.be?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Le Petite Belge,Concourse A,Airside,,,,,,,"Bar, Café, European","Belgian, International, Gourmet, Waffles","A Belgian-inspired cafe serving Belgian waffles, frites, beers, and European bites.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,
Levito,Concourse A,Airside,,,,,,,"Bakery, Pizza","Pizza, Pasta, Italian",Levito is an Italian-style bakery and pizza concept offering artisan-baked breads and Roman-style pizza.,24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,
Louis Vuitton Lounge,Concourse C,Airside,,,,,,,"French, European","Luxury, Café, French, Fine Dining","An exclusive luxury lounge by Louis Vuitton serving French-inspired light bites, champagne, and premium beverages to VIP guests.",24 hours,,,,yes,,OPEN — on official Hamad International Airport website,,
Maia Coffee & Chocolate,Concourse C,Airside,,,,,,,"Café, Desserts","Coffee, Chocolates, Café, Desserts",A specialty coffee and artisan chocolate boutique serving single-origin coffees and handcrafted chocolate confections.,24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
Orchard View,Concourse C,Airside,,,,,,,International,"International, Restaurant, Fine Dining","An international restaurant serving a diverse menu of global dishes in a spacious, open dining setting.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
Oreo Café,Concourse C,Airside,,,,,,,"Desserts, Café","Café, Desserts, Oreo, Sweets","A branded Oreo dessert cafe serving Oreo-themed drinks, ice cream, and cookie-inspired sweet treats.",24 hours,,,,yes,yes,OPEN — on official Hamad International Airport website,,
Ralph's Coffee,Concourse C,Airside,,,,,,,Café,"Coffee, Café, Ralph Lauren, Luxury","Ralph's Coffee is a branded café concept by Ralph Lauren, offering expertly sourced single-origin coffees, classic pastries, and a preppy, sophisticated café experience.",24 hours,,,,yes,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/ralphlauren.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Red Grill,Concourse C,Airside,,,,,,,"Steak, Grill Chicken & BBQ","Steakhouse, Grill, American, International","A steakhouse and grill serving prime cuts of beef, seafood, and international grilled dishes.",24 hours,,,,,,OPEN — on official Hamad International Airport website,,
Remman Cafe,Concourse C,Airside,,,,,,,"Café, Middle Eastern","Middle Eastern, Café, Coffee","A Middle Eastern cafe serving Arabic coffee, pomegranate-based drinks, mezze, and traditional snacks.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
Shawarma Station,Concourse A,Airside,,,,,,,Middle Eastern,"Shawarma, Middle Eastern, Street Food",A Middle Eastern fast food counter serving fresh chicken and meat shawarma wraps with garlic sauce and pickled vegetables.,24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/shawarma-station.it?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Simit Sarayı,Concourse C,Airside,,,,,,,"Bakery, Middle Eastern","Turkish, Bakery, Café, Sesame Bread","Simit Sarayı is a Turkish bakery café chain built around the simit — a sesame-encrusted circular bread — served alongside çay, coffee, and savoury pastries.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/simitsarayi.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Slicy,Concourse A,Airside,,,,,,,Pizza,"Pizza, Italian, Fast Casual",An Italian pizza-by-the-slice concept serving Roman-style pizza with a variety of fresh toppings.,24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,
Snowflakes Ice Cream,Concourse C,Airside,,,,,,,Desserts,"Ice Cream, Desserts, Waffles","An ice cream shop serving a range of classic and creative flavors, milkshakes, and frozen dessert treats.",24 hours,,,,yes,yes,OPEN — on official Hamad International Airport website,,
Starbucks,Concourse B,Airside,,,,,,,Café,"Coffee & Drinks, Snacks, Café","Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Starbucks,Concourse B,Airside,,,,,,,Café,"Specialty Coffee, Reserve, Premium Café","Starbucks is the world's largest coffeehouse chain, offering handcrafted espresso beverages, Frappuccinos, teas, and seasonal drinks alongside food items and merchandise.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/starbucks.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Sweet Stop,Concourse A,Airside,,,,,,,Desserts,"Sweets, Desserts, Café, Snacks","A sweets and confectionery counter offering Arabic pastries, baklava, chocolates, and Middle Eastern desserts.",24 hours,,,,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/sweet-stop.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
The Noodle Cart,Concourse C,Airside,,,,,,,Asian,"Asian, Noodles, Ramen, Street Food","An Asian noodle restaurant serving Southeast Asian-inspired noodle soups, stir-fried noodles, and rice dishes.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
Usta,Concourse C,Airside,,,,,,,Middle Eastern,"Turkish, Kebabs, Doner, Salads","A Turkish restaurant serving doner kebab, grilled meats, Turkish bread, and traditional Ottoman-inspired dishes.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
Venchi,Concourse C,Airside,,,,,,,"Bakery, Italian, Desserts","Italian, Chocolates, Gelato, Desserts","Venchi is a premium Italian chocolatier and gelato brand founded in 1878 in Cuneo, offering artisanal chocolate bars, pralines, and rich gelato from the finest ingredients.",24 hours,,,,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/venchi.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Wagamama,Concourse C,Airside,,,,,,,"Japanese, Asian","Asian, Japanese, Ramen, Noodles, Rice Bowls","Wagamama is a British-Japanese noodle bar chain offering pan-Asian cuisine including ramen, teppanyaki, and rice dishes in a fast-casual, canteen-style setting.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/wagamama.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Wok to Walk,Concourse C,Airside,,,,,,,Asian,"Asian, Wok, Stir Fry, Noodles, Street Food","Wok to Walk is a Dutch fast-casual chain serving freshly cooked stir-fry noodle and rice dishes made to order in a wok, with a choice of proteins, vegetables, and sauces.",24 hours,,,yes,yes,yes,OPEN — on official Hamad International Airport website,,https://img.logo.dev/woktowalk.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Work & Fly,Concourse D,Airside,,,,,,,Café,"Café, Co-working, Coffee, Snacks","A co-working cafe concept offering coffee, light snacks, and workspace for traveling professionals.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
YO! Sushi,Concourse A,Airside,,,,,,,"Japanese, Asian","Japanese, Sushi, Asian, Conveyor Belt","YO! Sushi is a British Japanese food chain that popularised the kaiten (conveyor belt) dining concept in the UK, serving fresh sushi, hot dishes, and Japanese snacks.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,https://img.logo.dev/yosushi.com?token=pk_ESVPZKxARPS4xn3hrJIFiA&size=200&format=png
Yum Cha,Concourse A,Airside,,,,,,,"Chinese, Asian","Chinese, Dim Sum, Asian, Tea","A Chinese dim sum restaurant serving a classic yum cha menu of steamed dumplings, har gow, siu mai, and Cantonese small plates.",24 hours,,,yes,yes,,OPEN — on official Hamad International Airport website,,
