name,terminal,airside,floor_level,lat,lon,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id
"Häagen-Dazs","Terminal A","","",,,,"","","Ice Cream, Café","Ice Cream, Coffee, Desserts","Häagen-Dazs is now scooping at Zayed International Airport. Enjoy signature scoops, creations, and classic affogatos — perfect indulgence before take-off.","24 hours",,,,,,"OPEN — on official Zayed International Airport website",
"Jones the Grocer","Terminal A","",,,,,"+971 2 805 8458","","Café, Gourmet","Coffee & Drinks, Deli, Cheese, Fine Foods","A casual dining restaurant and gourmet grocer offering artisan cheese, fine foods, and a full menu of contemporary, high-quality dishes.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Krispy Kreme","Terminal A","",,,,,"+971 2 805 8024","","Donuts, Café","Doughnuts, Coffee, Snacks","Enjoy the world-famous Original Glazed® and a variety of delicious doughnuts made fresh daily.","24 hours",,,,,"yes","OPEN — on official Zayed International Airport website",
"Levito: Pizza – Pasta","Terminal A","",,,,,"+971 2 805 8024","","Italian, Pizza, Pasta","Pizza, Pasta, Italian","LEVITO is your neighbourhood kitchen serving freshly baked pizzas and flavourful pastas, classic Italian dishes and desserts. Every pizza comes out hot from our signature pizza oven.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Operation Falafel","Terminal A","",,,,,"+971 2 805 8024","","Middle Eastern, Street Food","Shawarma, Falafel, Hummus, Salads","A Dubai-born casual dining chain reviving authentic Arabic street food with a modern twist. Serving shawarma, hummus, falafel, and customisable salad bowls.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Pana","Terminal A","",,,,,"+971 2 805 8456","","Bar, Café, International","Breakfast, Café, Bar","At Pana you can enjoy a delicious breakfast or a quick tasty meal and finish with a drink at the bar.","24 hours",,,,,,"OPEN — on official Zayed International Airport website",
"Patamar","Terminal A","",,,,,"+971 2 805 8024","","Indian, Asian","Biryani, Curries, Indo-Asian","Patamar is an Indo-Asian kitchen blending the bold flavours of India and Southeast Asia. Enjoy classics like curries, tandoori specialties, and Asian-inspired dishes.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Patamar To Go","Terminal A","Landside","",,,,"","","Indian, Asian","Indo-Asian Food, Takeaway","Patamar To Go brings bold Indo-Asian flavours to Abu Dhabi Airport, conveniently located before check-in and prior to immigration. Features biryani, butter chicken, tandoori specialties, and Karak chai.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Pier D","Terminal A","Airside","",,,,"","","Bar, International","Sports Bar, Gourmet, Bar","Pier D Sports Bar is a fantastic spot for sports enthusiasts and travellers alike.",,,,,,,,"OPEN — on official Zayed International Airport website",
"Puro Gusto","Terminal A","",,,,,,"","","Italian","Pizza, Pasta, Breakfast, Italian","An Italian restaurant offering a range of classic Italian dishes, from pasta to pizza, in a vibrant setting.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Shawa","Terminal A","",,,,,"+971 2 805 8562","","Lebanese, Middle Eastern","Shawarma, Grilled Meats, Lebanese","A Lebanese Grill offering authentic and flavourful Middle Eastern cuisine, specialising in fresh shawarma and grilled meats.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"SO! Coffee","Terminal A","Airside",,,,,"+971 54 717 3271","","Coffee, Café","Coffee & Café, Sandwiches, Pastries","Enjoy organic, expertly brewed hot and cold drinks alongside pastries, gourmet sandwiches, paninis, wraps, salads, and indulgent sweet treats.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Starbucks","Terminal A","",,,,,"+971 2 492 6570","","Coffee, Café","Coffee & Drinks, Snacks","Located in Zayed International Airport, this Starbucks store offers a convenient stop for travellers to enjoy their favourite beverages and snacks on the go.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Taste of India","Terminal A","",,,,,"+971 2 805 8454","","Indian","Indian, Dosas, Curries","Offers a selection of classic and contemporary Indian dishes, bringing the rich and diverse flavours of the subcontinent to the airport.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Texas Chicken","Terminal A","",,,,,"+971 2 805 8024","","Fried Chicken, Fast Food","Fast Food, Fried Chicken","Texas Chicken serves big, bold flavours with crispy, juicy fried chicken, buttery honey biscuits, and hearty sides.","24 hours",,,"yes",,,"OPEN — on official Zayed International Airport website",
"TGI Fridays","Terminal A","",,,,,"+971 2 805 8024","","American, Bar","Bar, Restaurant, Burgers, Steaks","TGI Fridays is a casual dining restaurant & bar known for its American-style comfort food, signature burgers, steaks, and handcrafted cocktails.","24 hours",,,,,,"OPEN — on official Zayed International Airport website",
"The Daily","Terminal A","",,,,,"+971 2 805 8436","","Café, International","Breakfast, Coffee, Sandwiches, Juices","Real food made fresh, served fast. From bold coffee and bright juices to loaded sandwiches, pastries and house-baked breads.",,,,,,"OPEN — on official Zayed International Airport website",
"The Majilis","Terminal A","",,,,,"+971 54 725 4180","","Middle Eastern, International","Coffee, Tea, Middle Eastern, Sandwiches","The Majlis blends Arabian hospitality with global flavours, offering specialty coffees, teas, fresh juices, and camel milk, alongside Middle Eastern favourites and gourmet sandwiches.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"The Meat District","Terminal A","",,,,,"+971 50 874 5690","","American, Burgers","Burgers, Hotdogs, International, Milkshakes","The Meat District features New York-style hotdogs, hamburgers, and fries. Enjoy homemade milkshakes and a variety of hot and cold beverages.","24 hours",,,,,,"OPEN — on official Zayed International Airport website",
"Todd English Market & Pub","Terminal A","Airside",,,,,"+971 54 725 3918","https://www.instagram.com/toddenglishauh/","International, Bar","Bar, Pub, Sushi, Pizza, Steaks, International","Todd English offers a culinary journey with airside views, featuring sushi, pasta, wok dishes, pizza, cured meats, rotisserie chicken, gourmet steaks, and a fully licensed bar.","24 hours",,,,,,"OPEN — on official Zayed International Airport website",
"Urban Food Market","Terminal A","",,,,,"+971 2 805 8434","","Café, International","Breakfast, Coffee, Sandwiches, Juices","Real food made fresh, served fast. From bold coffee and bright juices to loaded sandwiches, pastries and house-baked breads.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"VIT","Terminal A","",,,,,"+971 2 805 8443","","Juices, Café","Fresh Juices, Sandwiches, Healthy","Welcome to VIT, where passion meets refreshment. Explore our menu of delicious and healthy juices, sandwiches, and more.","24 hours",,,"yes","yes","yes","OPEN — on official Zayed International Airport website",
"Yasamin","Terminal A","",,,,,"+971 50 924 4789","","International, Café, Bar","Breakfast, Coffee, Middle Eastern, European, Asian, Bar","Unwind with great food before your flight. Our diverse menu blends all-day breakfast, global European, Asian and Middle Eastern flavours, coffee, pastries, and a licensed bar experience.","24 hours",,,,,,"OPEN — on official Zayed International Airport website",
